item_id,order_id,product_id,product_class_id,shipping_id,product_name,product_code,class_name1,class_name2,class_category_name1,class_category_name2,price,quantity
216,123,667,2969,123,カジュアル着物(ゆかた)　6月〜9月まで,g-yw160,,,,,13500,1
217,123,3320,3101,123,浴衣(赤・花),s-yw268,,,,,5400,1
218,124,2465,582,124,色無地(薄あずき色の地に地紋),y-im412,,,,,21600,1
219,125,277,2657,125,色無地,g-im107,,,,,21600,1
220,125,3451,3619,125,安心パック,secure_pack,,,,,1080,1
221,126,2464,955,126,色無地(深みどりの地に花紋),y-im411,,,,,21600,1
222,127,282,2654,127,色無地,g-im112,,,,,21600,1
223,127,2460,976,127,色無地(明るい赤紫の地に地紋),y-im407,,,,,21600,1
224,127,3451,3619,127,安心パック,secure_pack,,,,,1080,1
225,128,2272,2190,128,振袖[薄グレー地に黒のぼかしに桜],y-fr439,,,,,37800,1
226,128,3451,3619,128,安心パック,secure_pack,,,,,1080,1
227,129,2974,963,129,男物,g-ms138,,,,,9800,1
228,130,859,3502,130,"引き着 (黒地・菊と松)",i-hg301,,,,,70200,1
229,131,3177,3015,131,カジュアル☆男物(LL)　黒,y-ms560,,,,,10800,1
230,131,3451,3619,131,安心パック,secure_pack,,,,,1080,1
231,132,2963,2014,132,振袖(ぼたん・桜),s-fr129,,,,,48600,1
232,132,2921,3078,132,紬アンサンブル(紺無地),y-ms510,,,,,27000,1
233,132,3451,3619,132,安心パック,secure_pack,,,,,1080,1
234,133,819,779,133,振袖(黒地・ピンクと白の花),i-fr333,,,,,37800,1
235,133,3451,3619,133,安心パック,secure_pack,,,,,1080,1
236,134,819,779,134,振袖(黒地・ピンクと白の花),i-fr333,,,,,37800,1
237,134,3451,3619,134,安心パック,secure_pack,,,,,1080,2
238,134,2954,2019,134,振袖(ボルドー・桜),s-fr120,,,,,48600,1
239,135,2272,2190,135,振袖[薄グレー地に黒のぼかしに桜],y-fr439,,,,,37800,1
240,136,2520,1901,136,"黒留袖〔大名行列に地紙扇面の袋帯 〕",y-kt420,,,,,27000,1
241,137,825,3395,137,振袖(白に黒ぼかし地・赤の花),i-fr342,,,,,37800,1
242,137,3451,3619,137,安心パック,secure_pack,,,,,1080,1
243,138,1750,655,138,黒留袖(文箱・鶴),s-kt021,,,,,27000,1
244,139,3316,3066,139,ゆかた,g-yw320,,,,,10800,1
245,140,2518,660,140,"黒留袖〔秋草模様にかずら紐 〕",y-kt418,,,,,32400,1
246,140,3451,3619,140,安心パック,secure_pack,,,,,1080,1
247,141,2289,2155,141,振袖[山吹色地に伝統文様],y-fr456,,,,,43200,1
248,141,1063,3440,141,黒留袖(大輪の菊),i-kt325,,,,,27000,1
249,141,3022,2792,141,【小学六年生用】卒業袴,g-hkj136,,,,,21600,1
250,141,3451,3619,141,安心パック,secure_pack,,,,,1080,1
251,142,1054,415,142,黒留袖(松をアレンジ),i-kt316,,,,,32400,1
252,142,3451,3619,142,安心パック,secure_pack,,,,,1080,1
253,142,3239,3285,142,ゆかた,i-yw446,,,,,8640,1
254,143,3239,3285,143,ゆかた,i-yw446,,,,,8640,1
255,143,665,2946,143,カジュアル着物(ゆかた)　6月〜9月まで,g-yw158,,,,,13500,1
256,144,2273,2279,144,振袖[ピンク地にぼたんの花],y-fr440,,,,,37800,1
257,144,3451,3619,144,安心パック,secure_pack,,,,,1080,1
258,145,2464,955,145,色無地(深みどりの地に花紋),y-im411,,,,,21600,1
259,146,3024,2799,146,【小学六年生用】卒業袴,g-hkj138,,,,,21600,1
260,146,3451,3619,146,安心パック,secure_pack,,,,,1080,1
261,147,2817,2635,147,五歳祝い着セット,g-5s009,,,,,16200,1
262,148,825,3395,148,振袖(白に黒ぼかし地・赤の花),i-fr342,,,,,37800,1
263,148,3451,3619,148,安心パック,secure_pack,,,,,1080,2
264,148,2963,2014,148,振袖(ぼたん・桜),s-fr129,,,,,48600,1
265,149,3451,3619,149,安心パック,secure_pack,,,,,1080,1
266,149,2963,2014,149,振袖(ぼたん・桜),s-fr129,,,,,48600,1
267,150,942,3377,150,訪問着(グレー地・更紗模様),i-hm343,,,,,21600,1
268,150,3451,3619,150,安心パック,secure_pack,,,,,1080,1
269,151,2273,2279,151,振袖[ピンク地にぼたんの花],y-fr440,,,,,37800,1
270,152,1750,655,152,黒留袖(文箱・鶴),s-kt021,,,,,27000,1
271,152,3451,3619,152,安心パック,secure_pack,,,,,1080,1
272,152,2909,2223,152,お宮参り☆女の子祝い着,y-om517,,,,,10800,1
273,153,942,3377,153,訪問着(グレー地・更紗模様),i-hm343,,,,,21600,1
